PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Xertica | Partner Engineer: Fernando Laguna | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hOwdLQAS"", ""Vianney Textil Hogar, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eJUTOA2"", ""Vianney - Commit 2.0"")","$100,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-03,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Jesus Gonzalez,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OpmkDIAR"", ""Vianney (Xertica / $ 1,650,000 TCV / 3 YRS"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hOwdLQAS"", ""Vianney Textil Hogar, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eJUOOA2"", ""Vianney - Seguridad"")","$50,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-03,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Jesus Gonzalez,Security,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OpmkDIAR"", ""Vianney (Xertica / $ 1,650,000 TCV / 3 YRS"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hmdZsQAI"", ""Betterware de México, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082QYmOAM"", ""Infra BEFRA"")","$640,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-06,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Eduardo Bello,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OervhIAB"", ""Commit V2 - Xertica - Mex"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001p3S59QAE"", ""Grupo Zapata"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kJR9OAM"", ""Grupo Zapata Gemini Enterprise Xertica 600 users"")","$360,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-06,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Linnet Jáuregui,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P7LuzIAF"", ""Grupo Zapata SA de CV - Gemini Enterprise 583 seats"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf00001GXIApIAP"", ""Justiça Maranhão"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e36QOAQ"", ""GeminiAPI"")","$200,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-06,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Victoria Oliveira,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P5nNnIAJ"", ""Tribunal de justiça do estado do Maranhão - GCP Consumo 100K"")",0014M00002OSpJ8QAL,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hWrrCQAS"", ""ALMACENES GENERALES DE DEPOSITO DE CAFE S A ALMACAFE"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZIiYOAW"", ""FNC new Migración GE"")","$124,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-06,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Andrea Forero,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PO5DtIAL"", ""EA_ Nuevo_FNC (wks+ge)"")",0014M00001jjfBUQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lGBLVQA4"", ""ESTADO DE RONDONIA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009dwh7OAA"", ""GCP_Defensoria_Inov"")","$80,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-06,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Roberta Jezler,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OnWqWIAV"", ""DPDE-141764--ADESÃO ARP TJ-GO | DPE-RO"")",0014M00002OSpJ8QAL,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hqX9mQAE"", ""Public Ministry of the State of Maranhão"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZIUWOA4"", ""Vertex AI"")","$72,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-06,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Victoria Oliveira,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P9BNoIAN"", ""MPMA EA"")",0014M00002OSpJ8QAL,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lHmTPQA0"", ""PROMIGAS S A E S P"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tTGUOA2"", ""Databricks to BQ IA"")","$350,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-07,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Alberto Alarcon,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LkSKGIA3"", ""PROMIGAS -  Azure Takeover - Azure AIX to GCP  + Azure Databricks to GCP + AVS to GCP"")",0014M00001jjfBUQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lHmTPQA0"", ""PROMIGAS S A E S P"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tTGZOA2"", ""Databricks to BQ Data Analytics"")","$300,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-07,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Alberto Alarcon,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LkSKGIA3"", ""PROMIGAS -  Azure Takeover - Azure AIX to GCP  + Azure Databricks to GCP + AVS to GCP"")",0014M00001jjfBUQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hTMjCQAW"", ""MUTUAL SER S A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tcvMOAQ"", ""PD MUTUALSER#GCP #CUMS-VERTEXAI#MCO #OUT"")","$40,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-07,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Pedro Diaz Moreno,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000KgvgCIAR"", ""PD MUTUALSER#GCP #CUMS-VERTEXAI#MCO #OUT"")",0014M00001jjfBUQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMMnnQAG"", ""IASA , S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kJLBOA2"", ""IASA #GE Standard"")","$26,900.00",Stage 3 ➔ Stage 4.1,July,2026-07-08,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,3:  Proposal / Negotiation,Alexandra Rodríguez,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OB8SyIAL"", ""IASA #GE"")",0014M00001h32ptQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001m14kgQAA"", ""Departmental Health Institute of Nariño."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e1UFOAY"", ""WL_GE"")","$15,600.00",Stage 0-2 ➔ Stage 3,July,2026-07-08,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Juanita Perico Londoño,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OGO9TIAX"", ""Gemini Enterprise #AWT"")",0014M00001jjfBUQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002H5QlsQAF"", ""Escuela Politecnica Nacional"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WBopOAG"", ""EPN - Modernización de aplicaciones e infraestructura 53K ACV"")","$53,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-11,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Lauro Garcia,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OSlYQIA1"", ""EPN - Modernización de aplicaciones e infraestructura 53K ACV"")",0014M00001h32ptQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hmdZsQAI"", ""Betterware de México, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WA7zOAG"", ""Gemini Enterprise"")","$107,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-14,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Eduardo Bello,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OervhIAB"", ""Commit V2 - Xertica - Mex"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hmdZsQAI"", ""Betterware de México, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WA7zOAG"", ""Gemini Enterprise"")","$107,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-16,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Eduardo Bello,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OervhIAB"", ""Commit V2 - Xertica - Mex"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hOwdLQAS"", ""Vianney Textil Hogar, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eMyvOAE"", ""Vianney - Gemini Ent"")","$15,973.00",Stage 3 ➔ Stage 4.1,July,2026-07-20,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Jesus Gonzalez,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OAft6IAD"", ""Vianney Textil Hogar#GCP#Gemini Enterprise #OUT#MX #FY26_AWT_Renewal"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hmdZsQAI"", ""Betterware de México, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082QYmOAM"", ""Infra BEFRA"")","$640,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-21,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Eduardo Bello,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OervhIAB"", ""Commit V2 - Xertica - Mex"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf000010bm2LIAQ"", ""CE - CASA CIVIL CEARA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009ePZ0OAM"", ""CE - CASA CIVIL CEARA - SUPESP - LOOKER BIGQUERY"")","$26,500.00",Stage 0-2 ➔ Stage 3,July,2026-07-27,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Sergio Almeida,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Pij87IAB"", ""SUCE-146665-SUPESP CE- Adesão ATA MPAP"")",0014M00002OSpJ8QAL,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hOy3CQAS"", ""Gt Credit, S.A.P.I. de C.V. SOFOM, E.N.R."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eNz6OAE"", ""GT GLOBAL - GCP Consumo"")","$50,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-28,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jesus Gonzalez,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NCq59IAD"", ""GT GLOBAL - GCP Consumo"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lGBLVQA4"", ""ESTADO DE RONDONIA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009dwh7OAA"", ""GCP_Defensoria_Inov"")","$80,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-29,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Roberta Jezler,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OnWqWIAV"", ""DPDE-141764--ADESÃO ARP TJ-GO | DPE-RO"")",0014M00002OSpJ8QAL,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hendwQAA"", ""Locationworld SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tcuYOAQ"", ""Location Incremental GCP"")","$150,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-11,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Jorge Armando Barrios,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NRm4jIAD"", ""Incremental Recommit Location"")",0014M00001h32ptQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001heFQqQAM"", ""CORPORACION EL ROSADO S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009ogxfOAA"", ""El Rosado - Commit - Gemini Enterprise"")","$84,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-11,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Manuel Rodriguez,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000MKi6aIAD"", ""CORPORACION EL ROSADO Agentspace #1000 seats"")",0014M00001h32ptQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf0000181tItIAI"", ""Fiscalía General del Estado de Morelos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eDJtOAM"", ""Fiscalia Morelos AWS to GCP 5K"")","$5,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-12,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Esaú Acevedo,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000ODBfjIAH"", ""REVENUE FGDE-135979--Migración AWS a GCP"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf0000181tItIAI"", ""Fiscalía General del Estado de Morelos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eDJtOAM"", ""Fiscalia Morelos AWS to GCP 5K"")","$5,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-12,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Esaú Acevedo,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000ODBfjIAH"", ""REVENUE FGDE-135979--Migración AWS a GCP"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hWVUSQA4"", ""Empresa Municipal Inmobiliaria de Lima (EMILIMA)"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eS3MOAU"", ""EMILIMA - Gemini Enterprise Std (10)"")","$2,600.00",Stage 3 ➔ Stage 4.1,August,2026-08-20,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Moacir Quadros,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Orv5DIAR"", ""EMILIMA - Gemini Enterprise Std (10)"")",0014M00001h323oQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001mBE9sQAG"", ""Comercializadora Círculo CCK, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009olDFOAY"", ""Comercializadora Círculo CCK, S.A. de C.V. - GCVE"")","$200,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Eduardo Bello,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LjsqAIAR"", ""Comercializadora CCK# Commit Dashboard Salud de Tiendas (BQ + Looker)#Out"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002N4PcTQAV"", ""PE SES - SECRETARIA DE SAUDE PERNAMBUCO"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eOOuOAM"", ""WLK_SES-PE_GE_300seats"")","$68,056.36",Stage 0-2 ➔ Stage 3,August,2026-08-25,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Paulo Leite,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Oqk8HIAR"", ""SES-PE - GEMINI STD - 300 Seats"")",0014M00002OSpJ8QAL,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001z8pUAQAY"", ""INSTITUTO DE ADMINISTRACAO DO RIO DE JANEIRO"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eSxFOAU"", ""INSTITUTO DE ADMINISTRACAO DO RIO DE JANEIRO - Gemini Enterprise ACTIVATION"")","$4,032.00",Stage 3 ➔ Stage 4.1,August,2026-08-26,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Moacir Quadros,Build with AI,Opportunity,0014M00002OSpJ8QAL,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001j2nSTQAY"", ""INFOTEC"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tYobOAE"", ""INFOTEC - Gemini Enterprise 500 seats"")","$244,900.00",Stage 3 ➔ Stage 4.1,August,2026-08-27,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Javier Aparicio,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000N5q2HIAR"", ""INFOTEC - Gemini Enterprise 500 seats - EA - 2026 - 2027"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hjWT6QAM"", ""Eticos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tXtzOAE"", ""Eticos - GE WL"")","$239,500.00",Stage 0-2 ➔ Stage 3,August,2026-08-28,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jorge Armando Barrios,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OPuItIAL"", ""Eticos - GE"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001nVMcZQAW"", ""CARTOPEL"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eQoQOAU"", ""#CARTOPEL #ECUADOR #Gemini Enterprise #OUTBOUND"")","$50,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,0-2: Tech Eval/Solution Dev,Jorge Armando Barrios,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PhzJsIAJ"", ""#CARTOPEL #ECUADOR #Gemini Enterprise & BigQuery  #OUTBOUND"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hlh20QAA"", ""MINISTERIO PUBLICO DO ESTADO DO ACRE"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZKaMOAW"", ""AI - Vertex"")","$20,000.00",Stage 3 ➔ Stage 4.1,September,2026-09-01,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Victoria Oliveira,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OJ1aFIAT"", ""MINISTÉRIO PÚBLICO DO ESTADO DO ACRE - Google Cloud: Gemini Enterprise #SalesCreditPOC"")",0014M00002OSpJ8QAL,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lHmTPQA0"", ""PROMIGAS S A E S P"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eRH8OAM"", ""Promigas - GE Standard 2,000 Seats"")","$398,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-04,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Alberto Alarcon,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OpC0ZIAV"", ""Promigas - Gemini Enterprise - 2,000 Seats - Grupo Aval 63,000 Seats"")",0014M00001jjfBUQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hqX9mQAE"", ""Public Ministry of the State of Maranhão"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZENLOA4"", ""IA Integrado ao PJE"")","$220,000.00",Stage 3 ➔ Stage 4.1,September,2026-09-10,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Victoria Oliveira,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OEmGqIAL"", ""MPDE-120402-Ministério Público do Estado do Maranhão - MPMA- Aceleradores Integrados - #M25 #VertexAI #DocumentAI"")",0014M00002OSpJ8QAL,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,23,13,6,42,30,54.8%,31.0%,14.3%,Artificial Intelligence,Gemini Enterprise,🔥 High,P20220428035,Active Progression
