PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Noventiq (Softline) | Partner Engineer: Jaquelyn Montañez | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 22 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMsVoQAK"", ""Forus"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZH1qOAG"", ""Forus Retail Initiative"")","$200,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-14,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Christian Cuadros,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000JNQv9IAH"", ""Forus GCP Commit"")",0014M00001h39APQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hhdW2QAI"", ""TeamCore Solutions SPA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tRvkOAE"", ""TeamCore - Gemini Enterprise WL"")","$113,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Patricio Perez,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NQyzjIAD"", ""TeamCore - Gemini Enterprise"")",0014M00001h39APQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hO5bvQAC"", ""Productos Naturales de la Sabana S.A.S"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eRlcOAE"", ""FY26 Tier-2 Productos Naturales de la Sabana #Agent Plaform"")","$11,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-16,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jorge Armando Barrios,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PijNRIAZ"", ""FY26 Tier-2 Productos Naturales de la Sabana #Gemini Enterprise"")",0014M00001h3ARZQA2,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,10,6,0,16,6,62.5%,37.5%,0.0%,Artificial Intelligence,BigQuery,🔥 High,P20220923281,Active Progression
Tier 3 ➔ Tier 2,6,1,3,10,8,60.0%,10.0%,30.0%,Artificial Intelligence,Gemini Enterprise,🔥 High,P20220923281,Active Progression
Tier 2 ➔ Tier 1,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,P20220923281,No Upgrades
TOTAL DRP TIER PROMOTIONS,16,7,3,26,10,61.5%,26.9%,11.5%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Application Modernization,Apigee API Management,2,0,0,2,1,1,0,2,P20220923281,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Application Modernization,Cloud Run,0,1,0,1,1,0,0,1,P20220923281,🌱 Emerging (1-2),Tier 3 ➔ Tier 2,Active
Application Modernization,Google Kubernetes Engine,0,1,0,1,1,0,0,1,P20220923281,🌱 Emerging (1-2),Tier 3 ➔ Tier 2,Active
Artificial Intelligence,AI Applications,2,0,0,2,1,1,0,2,P20220923281,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise,3,4,0,7,2,3,2,5,P20220923281,🚀 Steady Growth (3-9),Tier 3 ➔ Tier 2,Active
Artificial Intelligence,Gemini Enterprise Agent Platform,1,3,0,4,3,0,1,3,P20220923281,🚀 Steady Growth (3-9),Tier 3 ➔ Tier 2,Active
Data & Analytics,BigQuery,3,0,0,3,3,0,0,3,P20220923281,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Data & Analytics,Dataflow,1,0,0,1,1,0,0,1,P20220923281,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Cloud Networking,1,1,0,2,2,0,0,2,P20220923281,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Cloud VMware Engine,1,0,0,1,0,1,0,1,P20220923281,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Workspace,Workspace,2,0,0,2,1,1,0,2,P20220923281,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
TOTAL,-,16,10,0,26,16,7,3,10,-,-,-,-
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
NOVLNPAN4,Application Modernization,Apigee API Management,Tier 4 ➔ Tier 3,July,2026-07-04,14.0,24.0,+10.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVLNPAN4,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,July,2026-07-04,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVHPMON7,Application Modernization,Google Kubernetes Engine,Tier 3 ➔ Tier 2,July,2026-07-17,34.0,39.0,+5.0,Tier 3,Tier 2,P20220923281,Tier Upgrade,Promoted
NOVDVVHQ0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-17,24.0,49.0,+25.0,Tier 3,Tier 2,P20220923281,Tier Upgrade,Promoted
NOVHNMMB7,Artificial Intelligence,AI Applications,Tier 4 ➔ Tier 3,July,2026-07-17,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVHPMON7,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,July,2026-07-17,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVHPMON7,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,July,2026-07-17,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVHNMMB7,Workspace,Workspace,Tier 4 ➔ Tier 3,July,2026-07-17,19.0,29.0,+10.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVHNMMB7,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-19,19.0,29.0,+10.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVHNMMB7,Application Modernization,Cloud Run,Tier 3 ➔ Tier 2,July,2026-07-22,34.0,39.0,+5.0,Tier 3,Tier 2,P20220923281,Tier Upgrade,Promoted
NOVHNMMB7,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-22,34.0,44.0,+10.0,Tier 3,Tier 2,P20220923281,Tier Upgrade,Promoted
NOVHNMMB7,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-22,29.0,39.0,+10.0,Tier 3,Tier 2,P20220923281,Tier Upgrade,Promoted
NOVHNMMB7,Data & Analytics,Dataflow,Tier 4 ➔ Tier 3,July,2026-07-22,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVHNMMB7,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,July,2026-07-22,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVCAYT40,Infrastructure Modernization,Google Cloud Networking,Tier 3 ➔ Tier 2,July,2026-07-23,33.0,38.0,+5.0,Tier 3,Tier 2,P20220923281,Tier Upgrade,Promoted
NOVHTOCE1,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-28,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVHTOCE1,Application Modernization,Apigee API Management,Tier 4 ➔ Tier 3,August,2026-08-05,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVHTOCE1,Infrastructure Modernization,Google Cloud VMware Engine,Tier 4 ➔ Tier 3,August,2026-08-05,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVDQVN00,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-08,16.0,21.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVDQVN00,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-18,31.0,36.0,+5.0,Tier 3,Tier 2,P20220923281,Tier Upgrade,Promoted
NOVGOZDA2,Artificial Intelligence,AI Applications,Tier 4 ➔ Tier 3,August,2026-08-26,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVGOZDA2,Workspace,Workspace,Tier 4 ➔ Tier 3,August,2026-08-26,19.0,29.0,+10.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVGOZDA2,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-30,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923281,Tier Upgrade,Promoted
NOVCMPFS8,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,September,2026-09-01,30.0,47.0,+17.0,Tier 3,Tier 2,P20220923281,Tier Upgrade,Promoted
NOVGOZDA2,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,September,2026-09-04,34.0,49.0,+15.0,Tier 3,Tier 2,P20220923281,Tier Upgrade,Promoted
NOVLNQHI5,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,September,2026-09-09,30.0,40.0,+10.0,Tier 3,Tier 2,P20220923281,Tier Upgrade,Promoted
