PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: SantoDigital | Partner Engineer: Thiago da Ponte | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001mGrXWQA0"", ""Aviva Brazil"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eC8HOAU"", ""Aviva #GEMINIENTERPRISE #GCP #OUT"")","$20,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-03,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,0-2: Tech Eval/Solution Dev,Tamires Peres,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NShNtIAL"", ""Aviva #GEMINIENTERPRISE #GCP #OUT"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002JWJn8QAH"", ""Uoou Solutions"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kL6mOAE"", ""GenAI #Bootcamp"")","$41,116.68",Stage 0-2 ➔ Stage 3,August,2026-08-04,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Suzan Soares,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PYaRoIAL"", ""#VCBD - Maya Capital #Bootcamp #GCP - uoou.com.br"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001iimx6QAA"", ""QUERO QUITAR S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZNaxOAG"", ""Quero Quitar AI Bootcamp"")","$64,870.00",Stage 0-2 ➔ Stage 3,August,2026-08-06,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Maria Eduarda Mamede,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OmVvLIAV"", ""QueroQuitar #GCP #GenAI #Bootcamp"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002S3yRyQAJ"", ""VISTA SISTEMAS DE SOLUCOES EM TECNOLOGIA FINANCEIRA LTDA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZNcDOAW"", ""Vista Guia Bootcamp"")","$60,891.00",Stage 0-2 ➔ Stage 3,August,2026-08-06,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Maria Eduarda Mamede,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PYaYrIAL"", ""#VCBD - Maya Capital #Bootcamp, Bossa Invest #GCP - meuvista.com"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002RQaFRQA1"", ""EVA PEOPLE"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZNc8OAG"", ""Eva People Bootcamp"")","$37,400.00",Stage 0-2 ➔ Stage 3,August,2026-08-06,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Maria Eduarda Mamede,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PYa7yIAD"", ""#VCBD - Maya Capital #Bootcamp, Meta Ventures #GCP - evapeople.com.br"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMGeQQAW"", ""Liv Up Comercio de Alimentos Ltda,"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eKdgOAE"", ""Liv Up - Data for AI"")","$15,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-07,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Rafael Sanabio,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LV9oLIAT"", ""M25_LivUp - Migração Heroku/IBM para GCP"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hrMnmQAE"", ""AUTO AVALIAR TECNOL PUBLICIDADE INTERMEDIACAO NEGOCIOS SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004Z9pBOAS"", ""#WL_AutoAvaliar_TransactionsGrowth_Santo"")","$50,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-10,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Saulo Pereira,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OIzIxIAL"", ""#RevGCP_AutoAvaliar_TransactionsDataGrowth_SantoDigital"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hYMPaQAO"", ""Prontmed"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eMkoOAE"", ""ProntMed #SantoDigitalAWSMigration"")","$100,768.92",Stage 3 ➔ Stage 4.1,August,2026-08-11,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Vito Colognori Ialongo,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OqZ7JIAV"", ""Prontmed #AWSMigration #SantoDigital"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001p3EJuQAM"", ""Vortex Engenharia e Projetos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZMiuOAG"", ""Crescimento Vortex"")","$40,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-11,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Vanessa Moyses,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PQG4dIAH"", ""Recommit_CVortex"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUL8LQAW"", ""Sociedade Fogás Ltda"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tcKpOAI"", ""Migração Monuv_"")","$175,756.32",Stage 0-2 ➔ Stage 3,August,2026-08-13,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Roberta Coelho,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LjavPIAR"", ""PostcommitPSF_Fogas"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002JWJn8QAH"", ""Uoou Solutions"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kL6mOAE"", ""GenAI #Bootcamp"")","$41,116.68",Stage 3 ➔ Stage 4.1,August,2026-08-17,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,3:  Proposal / Negotiation,Suzan Soares,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PYaRoIAL"", ""#VCBD - Maya Capital #Bootcamp #GCP - uoou.com.br"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hlsLaQAI"", ""ada.tech | Let S Code Academy Cursos de Informatica Ltda"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZNasOAG"", ""Ada Migration"")","$220,695.12",Stage 3 ➔ Stage 4.1,August,2026-08-18,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Maria Eduarda Mamede,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PhoLxIAJ"", ""Ada - Migration from AWS"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hrMnmQAE"", ""AUTO AVALIAR TECNOL PUBLICIDADE INTERMEDIACAO NEGOCIOS SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004Z9ghOAC"", ""#WL_GeminiEnterprise_AutoAvaliar_SantoDigital"")","$80,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-18,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Saulo Pereira,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OIodNIAT"", ""#GeminiEnterprise_AutoAvaliar_SantoDigital"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hrMnmQAE"", ""AUTO AVALIAR TECNOL PUBLICIDADE INTERMEDIACAO NEGOCIOS SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004Z9p6OAC"", ""#WL_AutoAvaliar_DataProductGrowthInfra_Santo"")","$60,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-18,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Saulo Pereira,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OIzIxIAL"", ""#RevGCP_AutoAvaliar_TransactionsDataGrowth_SantoDigital"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hrMnmQAE"", ""AUTO AVALIAR TECNOL PUBLICIDADE INTERMEDIACAO NEGOCIOS SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZP1iOAG"", ""#WL_NewAutoAvaliarModernization_SantoDigital"")","$250,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-19,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Saulo Pereira,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OIzIxIAL"", ""#RevGCP_AutoAvaliar_TransactionsDataGrowth_SantoDigital"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hc71uQAA"", ""S/A O ESTADO DE S.PAULO"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZP27OAG"", ""#WL_NZN_Estadao_SantoDigital"")","$145,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-19,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Saulo Pereira,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P6sdqIAB"", ""#Booking_Estadao"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hc71uQAA"", ""S/A O ESTADO DE S.PAULO"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZP2HOAW"", ""#WL_Akamai_Estadao_SantoDigital"")","$125,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-19,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Saulo Pereira,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P6sdqIAB"", ""#Booking_Estadao"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hrMnmQAE"", ""AUTO AVALIAR TECNOL PUBLICIDADE INTERMEDIACAO NEGOCIOS SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZEsNOAW"", ""#WL_AutoAvaliar_AllAIModelsToGemini_SantoDigital"")","$120,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-19,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Saulo Pereira,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PESeoIAH"", ""#iRev_AutoAvaliar_AllAIModelsToGemini_SantoDigital"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hc71uQAA"", ""S/A O ESTADO DE S.PAULO"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZP1UOAW"", ""#WL_InterconnectSAPTivit_Estadao_Santo"")","$85,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-19,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Saulo Pereira,Networking,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P6sdqIAB"", ""#Booking_Estadao"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hc71uQAA"", ""S/A O ESTADO DE S.PAULO"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZP2COAW"", ""#WL_DigitalOcean_Estadao_SantoDigital"")","$85,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-19,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Saulo Pereira,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P6sdqIAB"", ""#Booking_Estadao"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUFvXQAW"", ""Mma Industria e Comercio de Bijuterias Ltda"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e9AdOAI"", ""ROMANEL - AI ULTRA"")","$50,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-19,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jose Sales Andrade,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OldluIAB"", ""MMA ROMANEL #AI ULTRA #GCP #OUT"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002P1hQHQAZ"", ""TRIPLE A.I.TECNOLOGIA LTDA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kLz3OAE"", ""TripleAI#GenAI #Bootcamp"")","$49,986.00",Stage 0-2 ➔ Stage 3,August,2026-08-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Suzan Soares,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000POWQyIAP"", ""#VCBD - Monashees - #AIHub #Gemini - tripleai.com.br"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf00001BDRoWIAX"", ""Valejá"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WEBqOAO"", ""Prod - AI"")","$39,469.00",Stage 3 ➔ Stage 4.1,August,2026-08-24,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Henrique Pascon,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NS7T9IAL"", ""VALEJA #OUT# GCP #GFS"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf0000182WuqIAE"", ""SMARTSIDE"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kLyyOAE"", ""#SmartsideAI#GenAI#Bootcamp"")","$42,458.64",Stage 3 ➔ Stage 4.1,August,2026-08-26,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Suzan Soares,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000POWOYIA5"", ""#VCBD - Monashees - #AIHub #Gemini - smartside.ai"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hlsLaQAI"", ""ada.tech | Let S Code Academy Cursos de Informatica Ltda"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZNasOAG"", ""Ada Migration"")","$220,695.12",Stage 3 ➔ Stage 4.1,August,2026-08-30,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Maria Eduarda Mamede,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PhoLxIAJ"", ""Ada - Migration from AWS"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hNmRAQA0"", ""Azul Linhas Aéreas Brasileiras S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZLqwOAG"", ""Azul - GECX #Santodigital  [SantoDigital]"")","$200,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-02,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Carolina Vieira Seade,Customer Engagement,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Of6p0IAB"", ""Azul - GECX [Santodigital]"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hNmRAQA0"", ""Azul Linhas Aéreas Brasileiras S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZLqmOAG"", ""Azul - Revisão de documentos de leasing [OCTO]"")","$100,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-02,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Carolina Vieira Seade,Developer AI Assistance,Opportunity,0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hKJqwQAG"", ""Pátria Investimentos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZQFgOAO"", ""Fundação Dados_Delta"")","$60,000.00",Stage 3 ➔ Stage 4.1,September,2026-09-08,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Vanessa Moyses,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PNl9DIAT"", ""Fundação Delta Sementes"")",0014M00001h328CQAQ,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,28,32,12,72,35,38.9%,44.4%,16.7%,Artificial Intelligence,Gemini Enterprise,🔥 High,P20220602085,Active Progression
Tier 3 ➔ Tier 2,21,17,7,45,22,46.7%,37.8%,15.6%,Artificial Intelligence,Gemini Enterprise Agent Platform,🔥 High,P20220602085,Active Progression
Tier 2 ➔ Tier 1,5,9,3,17,12,29.4%,52.9%,17.6%,Artificial Intelligence,Gemini Enterprise Agent Platform,🔥 High,P20220602085,Active Progression
TOTAL DRP TIER PROMOTIONS,54,58,22,134,38,40.3%,43.3%,16.4%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Application Modernization,Apigee API Management,0,0,1,1,1,0,0,1,P20220602085,🌱 Emerging (1-2),Tier 2 ➔ Tier 1,Active
Application Modernization,Cloud Run,2,1,0,3,2,1,0,3,P20220602085,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Application Modernization,Google Kubernetes Engine,1,1,0,2,0,2,0,2,P20220602085,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,AI Applications,4,0,0,4,1,3,0,4,P20220602085,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,GECX - CCaaS,3,0,0,3,0,0,3,3,P20220602085,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,GECX - CX Agent Studio,3,0,0,3,0,0,3,3,P20220602085,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise,18,13,5,36,14,17,5,22,P20220602085,🔥 High Velocity (10+),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise Agent Platform,13,18,7,38,18,16,4,24,P20220602085,🔥 High Velocity (10+),Tier 3 ➔ Tier 2,Active
Data & Analytics,BigQuery,0,2,3,5,1,2,2,5,P20220602085,🚀 Steady Growth (3-9),Tier 2 ➔ Tier 1,Active
Data & Analytics,Dataflow,0,2,0,2,1,0,1,2,P20220602085,🌱 Emerging (1-2),Tier 3 ➔ Tier 2,Active
Data & Analytics,Dataproc,1,0,0,1,1,0,0,1,P20220602085,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Data & Analytics,Looker,1,0,0,1,0,1,0,1,P20220602085,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Databases,Cloud SQL,2,3,0,5,2,2,1,5,P20220602085,🚀 Steady Growth (3-9),Tier 3 ➔ Tier 2,Active
Infrastructure Modernization,Google Cloud Networking,7,0,1,8,3,4,1,8,P20220602085,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Cloud VMware Engine,1,0,0,1,0,1,0,1,P20220602085,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Compute Engine,2,0,0,2,1,1,0,2,P20220602085,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
