Partner:,Growth Partner Network (GPN),,,Last Update:,28 - Aug 2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Alert Criteria:,Target Go-Live risk for active pipeline (Stages 0-2 & 3),,🔴 Critical (≤14d / Overdue),🌸 High (15-30d),🟡 Medium (31-45d),,⚪ Normal (>45d / Stage 4+),,,,,,,,,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002LUI48QAH/view"", ""Avocado Blockchain Services"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WBdmOAG/view"", ""Avocado Block Chain#Vertex#Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002p4KLIAY/view"", ""Luis Alonso Contreras"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OewEnIAJ/view"", ""Avocado Block Chain#Vertex#Gemini Enterprise"")",,Mexico,MX DN,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-09-30,2026-10-21,"$13,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h620qQAA/view"", ""Probiomed"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZJ29OAG/view"", ""Workload de Probiomed - INFRA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000005pk9gQAA/view"", ""Jose Perez Medina"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PNvbdIAD/view"", ""PROBIOMED #OUT #GCP #Q2-26 #AI #INFRA #MIGRACIÖN"")",,Corporate,MX CORP,Migrate Modernize and Build,Enterprise Platform of Choice: VMWare,,2026-10-30,2026-11-23,"$24,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3RyIQAU/view"", ""Premium Restaurant Brands, S. de R.L.C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kHNUOA2/view"", ""workload/PRB/FWSec"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004W4QxQAK/view"", ""Evelyn Sandoval"")",3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P79ipIAB/view"", ""PRB [Firewalls Perimetrales]"")",,Corporate,MX CORP,Security,Secure Innovation with Google Cloud,Security Workload,2026-08-31,2026-09-30,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lHlKgQAK/view"", ""TRABAJANDO COM CHILE S A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W9c3OAC/view"", ""Trabajando RecommendationAI"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004WNrjQAG/view"", ""Agustina Maria Cano"")",3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PGBbwIAH/view"", ""Trabajando #INB #RecommendationAI"")",,Corporate,MCO CORP SUR,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-11-09,2026-12-07,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRONIQA4/view"", ""Agricola Nacional S.A.C. e I."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eHLtOAM/view"", ""Agricola Nacional S.A.C. e I. #GCP #INB #Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002OXB9IAO/view"", ""Jilver Tyson Fuentes"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeiowIAB/view"", ""Agricola Nacional S.A.C. e I. #GCP #INB #Gemini Enterprise"")",,Corporate,MCO CORP SUR,,,,,,"$90,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3Q1wQAE/view"", ""Lefort Fintech Labs, S.A.P.I. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZBEsOAO/view"", ""LEFORT#GCP #BigQuery - Workload"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000005pk9gQAA/view"", ""Jose Perez Medina"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OozwLIAR/view"", ""#LEFORT#OUT_BOUND#GCP #BigQuery"")",,Corporate,MX CORP,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-10-13,2026-12-13,"$64,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3Q1wQAE/view"", ""Lefort Fintech Labs, S.A.P.I. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZBEnOAO/view"", ""LEFORT#GCP #VertexAI #DocumentAI - Workload"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000005pk9gQAA/view"", ""Jose Perez Medina"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OozvwIAB/view"", ""#LEFORT #OUT_BOUND #GCP #VertexAI #DocumentAI"")",,Corporate,MX CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-10-30,2026-12-30,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hSSTgQAO/view"", ""Office Max"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W6v7OAC/view"", ""VTEX: Mejorar la busqueda en ecommerce con IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004GbsGQAS/view"", ""Fabiola Ochoa"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NFC6hIAH/view"", ""Buscador inteligente en Vtex"")",,Corporate,MX CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-11-02,2026-11-27,"$72,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h6raQQAQ/view"", ""Fundary Network"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W6vROAS/view"", ""INFRA AZURE to GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004GbsGQAS/view"", ""Fabiola Ochoa"")",4.1: Pre Ramp / Mobilize,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OoxEBIAZ/view"", ""Fundary Migración"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000TWb8KAG/view"", ""ER-488162"")",Corporate,MX CORP,Migrate Modernize and Build,"Migrate, Modernize and Build",GKE/CloudRun,2026-06-22,2026-08-11,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hSSTgQAO/view"", ""Office Max"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W6v2OAC/view"", ""Actualización Masiva de Catalogo con IA Generativa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004GbsGQAS/view"", ""Fabiola Ochoa"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NFCHkIAP/view"", ""Actualización Masiva de Catálogo con IA Generativa"")",,Corporate,MX CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-11-02,2026-11-27,"$22,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hSSTgQAO/view"", ""Office Max"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W6vCOAS/view"", ""Consulta de Facturas"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004GbsGQAS/view"", ""Fabiola Ochoa"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OkrCwIAJ/view"", ""Consulta de Facturas+Cloud Storage [MVP ETL Fiscal]"")",,Corporate,MX CORP,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Not a Solution,2026-09-07,2026-09-30,"$12,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000010e8tRIAQ/view"", ""Nexcar"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W6ZQOA0/view"", ""Nexcar Modrnazacion Databases"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000005pk9gQAA/view"", ""Jose Perez Medina"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OebeXIAR/view"", ""Nexcar - Modernizacion DB"")",,Corporate,MX CORP,Migrate and Modernize Databases,"Migrate, Modernize, and Build with Data Cloud (Databases)","Move to Managed Databases (Homogeneous - Cloud SQL, AlloyDB, Firestore)",2026-11-18,2026-11-26,"$77,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hvG3LQAU/view"", ""Grupo Vimar"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eCNMOA2/view"", ""#GRUPOVIMAR#GCP#BigQuery, Worload"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000005pk9gQAA/view"", ""Jose Perez Medina"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSV0MIAX/view"", ""#GRUPOVIMAR#GCP#BigQuery"")",,Corporate,MX CORP,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-11-10,2026-12-10,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000010e8tRIAQ/view"", ""Nexcar"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eCRdOAM/view"", ""NEXCAR #GCP#VERTEX-IA- Workload"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000005pk9gQAA/view"", ""Jose Perez Medina"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000ORWwWIAX/view"", ""NEXCAR #OUT #GCP #Q1-26 #VERTEX-IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000TX4FKAW/view"", ""ER-490004"")",Corporate,MX CORP,Build with AI,"Your Business, Your Models",Agent and Model Platform,2026-09-29,2026-11-29,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiGsAQAU/view"", ""Enviame"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tcwFOAQ/view"", ""Enviame - Gemini Enterprise WL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001xICLIA2/view"", ""Patricio Perez"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSZ2CIAX/view"", ""Enviame - Gemini Enterprise"")",,Corporate,MCO CORP SUR,Build with AI,,,2026-09-01,2026-09-15,"$64,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lHlKgQAK/view"", ""TRABAJANDO COM CHILE S A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ta9BOAQ/view"", ""Trabajando.com - Gemini Enterprise CX"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004WNrjQAG/view"", ""Agustina Maria Cano"")",3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSYtUIAX/view"", ""Trabajando.com - Gemini Enterprise CX"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000oQ3pKAE/view"", ""ER-482072"")",Corporate,MCO CORP SUR,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-11-09,2026-12-07,"$15,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hmd2QQAQ/view"", ""Arabela, S.A. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082H28OAE/view"", ""Arabela #GCVE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002TFi5IAG/view"", ""Linnet Jáuregui"")",4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000M1rApIAJ/view"", ""Arabela GCVE FLEX"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PEeWKAW/view"", ""ER-445068"")",Corporate,MX CORP,Migrate Modernize and Build,,,2025-11-24,2025-12-29,"$311,500.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hvGz4QAE/view"", ""TUM Transportistas Unidos Mexicanos División Norte, S.A. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oYceOAE/view"", ""Agentspace_TUM"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004vviqQAA/view"", ""Alfredo Esqueda"")",4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KYwtRIAT/view"", ""TUM - GCP"")",,Corporate,MX CORP,Build with AI,Scale AI Apps and Agents,Drive Business Impact with Agents,2026-05-11,2026-07-24,"$144,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001wO4ujQAC/view"", ""Farmacias Ahumada SpA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009t9vNOAQ/view"", ""FASA - Migración desde WG GPNET fase 2"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004VrFDQA0/view"", ""Guillermo Riquelme"")",4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cynxZQAQ/view"", ""Farmacias Ahumada - Computo - Ipnet"")",,Corporate,MCO CORP SUR,Infra AI,AI Infrastructure,AI Infra - Inference,2025-07-11,2025-08-08,"$12,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hmd20QAA/view"", ""Innova Sport, S.A. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oW7UOAU/view"", ""InnovaSport - App"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002PEQHIA4/view"", ""Jesus Gonzalez"")",4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JfcU7IAJ/view"", ""Innova Sport, S.A. de C.V.#GCP#Infra AI (Platicado con Jesus)"")",,Corporate,MX CORP,Migrate and Modernize Databases,"Migrate, Modernize, and Build with Data Cloud (Apigee)",API Management (Apigee),2025-08-11,2025-08-22,"$120,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hSSTgQAO/view"", ""Office Max"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZNHOA4/view"", ""OMX - Cortex"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004GbsGQAS/view"", ""Fabiola Ochoa"")",4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ16KIAT/view"", ""Operadora OMX, S.A. de C.V. - Google Cloud Platform"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PZqKKAW/view"", ""ER-494098"")",Corporate,MX CORP,Analytics,,,2025-10-03,2025-10-09,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hSSTgQAO/view"", ""Office Max"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZNMOA4/view"", ""Agent Space"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004GbsGQAS/view"", ""Fabiola Ochoa"")",4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ16KIAT/view"", ""Operadora OMX, S.A. de C.V. - Google Cloud Platform"")",,Corporate,MX CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-05-18,2026-07-30,"$15,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hvGz4QAE/view"", ""TUM Transportistas Unidos Mexicanos División Norte, S.A. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009t5qkOAA/view"", ""Data TUM"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004vviqQAA/view"", ""Alfredo Esqueda"")",4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KYwtRIAT/view"", ""TUM - GCP"")",,Corporate,MX CORP,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-04-01,2026-04-01,"$6,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htuRdQAI/view"", ""Puerto Ventanas S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009t3uzOAA/view"", ""Puerto Ventanas GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000005ec50QAA/view"", ""Christian Cuadros"")",4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JfP9UIAV/view"", ""Puerto Ventanas S.A. - Google Cloud Platform"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000011AHEKA2/view"", ""ER-401434"")",Corporate,MCO CORP SUR,Migrate Modernize and Build,,,2025-07-25,2025-10-31,"$75,000.00",,
