Partner:,Xertica,,,Last Update:,28 - Aug 2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Alert Criteria:,Target Go-Live risk for active pipeline (Stages 0-2 & 3),,🔴 Critical (≤14d / Overdue),🌸 High (15-30d),🟡 Medium (31-45d),,⚪ Normal (>45d / Stage 4+),,,,,,,,,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hulsXQAQ/view"", ""EMPRESA DE TELECOMUNICACIONES DE BOGOTA S A ESP"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ePf8OAE/view"", ""Core Database Migración Azure a GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004w7A7QAI/view"", ""Dario Palma Villarreal"")",0-2: Tech Eval/Solution Dev,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OrI8qIAF/view"", ""ETB Core Database Migration to Cloud SQL"")",,Corporate,MCO CORP NORTE,Migrate Modernize and Build,"Migrate, Modernize and Build",Microsoft,2026-11-18,2026-12-10,"$400,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiWhvQAE/view"", ""Fundación Santa Fe de Bogota"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ePfXOAU/view"", ""Fundacion Santafe - Derivación de citas 2026"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004w7A7QAI/view"", ""Dario Palma Villarreal"")",0-2: Tech Eval/Solution Dev,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PXd1wIAD/view"", ""FUNDACIÓN SANTA FE DE BOGOTÁ - GCP Consumo 80K - PQR´S"")",,Corporate,MCO CORP NORTE,Migrate Modernize and Build,"Migrate, Modernize and Build",Microsoft,2026-10-14,2026-11-04,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hWsfRQAS/view"", ""THOMAS GREG & SONS DE COLOMBIA S A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOyOOAU/view"", ""FY26-Tier 2 Thomas Greg Limited #INB #GCP #Agents Platform"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001nkrtIAA/view"", ""Jorge Armando Barrios"")",0-2: Tech Eval/Solution Dev,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PVOOqIAP/view"", ""FY26-Tier 2 Thomas Greg Limited #INB #GCP #Agents Platform #Integración de Desarrollo #Antigravity"")",,Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-10-30,2026-11-27,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001p3S59QAE/view"", ""Grupo Zapata"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kJR9OAM/view"", ""Grupo Zapata Gemini Enterprise Xertica 600 users"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002TFi5IAG/view"", ""Linnet Jáuregui"")",3:  Proposal / Negotiation,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P7LuzIAF/view"", ""Grupo Zapata SA de CV - Gemini Enterprise 400"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000Ta98KAC/view"", ""ER-504017"")",Corporate,MX CORP,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-09-29,2026-12-31,"$360,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hOwdLQAS/view"", ""Vianney Textil Hogar, S.A. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eMyvOAE/view"", ""Vianney - Gemini Ent"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002PEQHIA4/view"", ""Jesus Gonzalez"")",4.3: Migrated/Implemented,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OAft6IAD/view"", ""Vianney Textil Hogar#GCP#Gemini Enterprise #OUT#MX #FY26_AWT_Renewal"")",,Corporate,MX CORP,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-07-19,2026-07-31,"$40,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hWrrCQAS/view"", ""ALMACENES GENERALES DE DEPOSITO DE CAFE S A ALMACAFE"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eMW8OAM/view"", ""GE - WL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000005ejkZQAQ/view"", ""Leonardo Landaeta"")",4.3: Migrated/Implemented,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Oq2LXIAZ/view"", ""[AWT GE Lic] - juanvaldezcafe.com+ cafedecolombia.com- 2026-Q2 renewal attach"")",,Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-07-01,2026-08-27,"$92,204.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hXCNpQAO/view"", ""Brinsa"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WBIKOA4/view"", ""FY26-Brinsa #out #Gemini Enterprsie #IA Generativa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001nkrtIAA/view"", ""Jorge Armando Barrios"")",0-2: Tech Eval/Solution Dev,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PNB4WIAX/view"", ""FY26-Brinsa #out #Gemini Enterprsie #IA Generativa"")",,Corporate,MCO CORP NORTE,Build with AI,,,2026-10-16,2026-12-21,"$210,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h5PJkQAM/view"", ""El Pedregal S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eJcIOAU/view"", ""El Pedregal | SCC Premium"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Qxs4IAC/view"", ""Arianne Mahuad"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OponMIAR/view"", ""El Pedregal | SCC Premium"")","ER-486302, ER-487132",Corporate,MCO CORP CCA,Security,Secure Innovation with Google Cloud,Security Workload,2026-08-28,2026-09-30,"$39,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hjapUQAQ/view"", ""BANCO FINANDINA SA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eJEVOA2/view"", ""FY26 - Tier3 - Banco Finanadina # Out #GCP #Gemini Enterprise CX #Despliegue de"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001nkrtIAA/view"", ""Jorge Armando Barrios"")",0-2: Tech Eval/Solution Dev,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PG16bIAD/view"", ""FY26 - Tier3 - Banco Finanadina # Out #GCP #Gemini Enterprise CX #Despliegue de estrategias de GenAI"")",,Corporate,MCO CORP NORTE,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),Commerce Search,2026-10-19,2026-11-27,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h614DQAQ/view"", ""DETECNO SA DE CV"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kFx6OAE/view"", ""Detecno Vertex AI Search #Gemini Enterprise (50 licencias)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002TFi5IAG/view"", ""Linnet Jáuregui"")",3:  Proposal / Negotiation,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000O9ii9IAB/view"", ""Detecno Vertex AI Search #Gemini Enterprise (50 licencias)"")",,Corporate,MX CORP,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-08-17,2027-08-26,"$27,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002S3uVXQAZ/view"", ""Jafra Cosmetics International, S.A. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W6rjOAC/view"", ""Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Oo1pIAC/view"", ""Eduardo Bello"")",3:  Proposal / Negotiation,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Of0VJIAZ/view"", ""Jafra - Agentes Gemini Enterpise para Transf Digital"")",,Mexico,MX Multi-industry & Monterrey,Build with AI,Scale AI Apps and Agents,Drive Business Impact with Agents,2026-10-01,2026-10-19,"$130,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hQ2TbQAK/view"", ""Grupo Giraud, S.A. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eDLkOAM/view"", ""Grupo Giraurd #WIZ"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000003qd4xQAA/view"", ""Edgar Castillo"")",3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OozYdIAJ/view"", ""Grupo Giraurd Security Commnand Center"")",,Mexico,MX Multi-industry & Monterrey,Security,Secure Innovation with Google Cloud,Security Workload,2026-07-17,2026-07-31,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hXp6xQAC/view"", ""Salud Digna para Todos, I.A.P."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ongiOAA/view"", ""Salud Digna Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004vviqQAA/view"", ""Alfredo Esqueda"")",3:  Proposal / Negotiation,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OYcv2IAD/view"", ""Salud Digna Vertex AI #Gemini Enterprise #aimcdmx"")",,Corporate,MX CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-09-28,2026-09-30,"$450,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lILgZQAW/view"", ""Americas BPS"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tczOOAQ/view"", ""Americas BPS - Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004w7A7QAI/view"", ""Dario Palma Villarreal"")",3:  Proposal / Negotiation,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NShxVIAT/view"", ""Americas BPS - Gemini Enterprise"")",,Corporate,MCO CORP NORTE,Build with AI,Scale AI Apps and Agents,Drive Business Impact with Agents,2026-09-09,2026-09-24,"$270,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hjWT6QAM/view"", ""Eticos"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tcyuOAA/view"", ""FY26-Eticos #Gemini Enterprsie #Chats boots"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001nkrtIAA/view"", ""Jorge Armando Barrios"")",0-2: Tech Eval/Solution Dev,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OluvOIAR/view"", ""FY26#Outbound ##Gemini Enterprsie #Chats boots"")",,Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-13,2026-12-18,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h5PJkQAM/view"", ""El Pedregal S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082SVBOA2/view"", ""El Pedregal | Datalake"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Qxs4IAC/view"", ""Arianne Mahuad"")",0-2: Tech Eval/Solution Dev,🟢 Ready (17 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OSEABIA5/view"", ""El Pedregal | Datalake"")",,Corporate,MCO CORP CCA,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-11-01,2026-12-15,"$25,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hjWT6QAM/view"", ""Eticos"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tXtzOAE/view"", ""Eticos - GE WL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001nkrtIAA/view"", ""Jorge Armando Barrios"")",3:  Proposal / Negotiation,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OPuItIAL/view"", ""Eticos - GE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000oR37KAE/view"", ""ER-486043"")",Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-20,2026-12-21,"$239,500.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001redAxQAI/view"", ""Grupo Sandoval"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tY3uOAE/view"", ""Dinet | 100 Licencias Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Qxs4IAC/view"", ""Arianne Mahuad"")",0-2: Tech Eval/Solution Dev,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSTSOIA5/view"", ""Dinet | 100 Licencias Gemini Enterprise"")",,Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-12-01,2026-12-31,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lILgZQAW/view"", ""Americas BPS"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tXErOAM/view"", ""Americas BPS - Datacenter exit"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004w7A7QAI/view"", ""Dario Palma Villarreal"")",4.1: Pre Ramp / Mobilize,🟢 Ready (8 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LiysiIAB/view"", ""Americas BPS - Enterprise Agreement 2025"")",,Corporate,MCO CORP NORTE,Migrate Modernize and Build,"Migrate, Modernize and Build",GKE/CloudRun,2026-08-19,2026-09-30,"$445,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hZ7ikQAC/view"", ""Empresa Editora El Comercio S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tV25OAE/view"", ""El Comercio | 200 Licencias Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Qxs4IAC/view"", ""Arianne Mahuad"")",3:  Proposal / Negotiation,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NS5uUIAT/view"", ""El Comercio | 200 Licencias Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000tu4EKAQ/view"", ""ER-465943"")",Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-01,2026-11-30,"$48,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h5PJkQAM/view"", ""El Pedregal S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tUAIOA2/view"", ""El Pedregal | 100 Licencias Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Qxs4IAC/view"", ""Arianne Mahuad"")",0-2: Tech Eval/Solution Dev,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NS59OIAT/view"", ""El Pedregal | 100 Licencias Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000oQIGKA2/view"", ""ER-483099"")",Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-01,2026-11-30,"$24,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hb31AQAQ/view"", ""IRTP"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tTdTOAU/view"", ""IRTP | 100 Licencias Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Qxs4IAC/view"", ""Arianne Mahuad"")",0-2: Tech Eval/Solution Dev,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSWWdIAP/view"", ""IRTP | 100 Licencias Gemini Enterprise"")",,Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-01,2026-12-31,"$29,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hXnWqQAK/view"", ""Libertad Servicios Financieros"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tSUGOA2/view"", ""Libertad - Migracion Computo Engine"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002PEQHIA4/view"", ""Jesus Gonzalez"")",4.1: Pre Ramp / Mobilize,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NS3h6IAD/view"", ""Libertad - Migracion Computo Engine"")",,Corporate,MX CORP,Migrate Modernize and Build,"Migrate, Modernize and Build",Linux,2026-09-24,2027-02-25,"$372,050.16",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hk1o6QAA/view"", ""COMPANHIA PERNAMBUCANA DE SANEAMENTO"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tSNeOAM/view"", ""GeminiEnterprise_COMPESA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004WaVBQA0/view"", ""Roberta Coelho"")",0-2: Tech Eval/Solution Dev,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NPu4fIAD/view"", ""CCPD-135232--COMPESA - AGENTSPACE + GERADOR DE MNUTA #M25"")",,Corporate,BR CORP,Build with AI,,,2026-09-10,2026-09-30,"$75,000.00",,
