Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOPnOAM/view"", ""Centria/Rimac - Arquitectura Basada en Eventos (Carretera de Datos)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")",,MCO,EM (PE/EC),Analytics,4.1: Pre Ramp / Mobilize,2026-08-10,2026-10-12,"54,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hYrRCQA0/view"", ""Grupo Ramos"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOIhOAM/view"", ""Grupo Ramos Infra SAP CAR Full Landscape"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Lie8yIAB/view"", ""Grupo Ramos SA/$1.7M TCV/3 YR"")",,Corporate,MCO CORP CCA,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-08-03,2026-11-02,"243,156.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001httsZQAQ/view"", ""GTD Grupo Teleductos S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kK54OAE/view"", ""GTD - Agents Integrations"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000crl2cQAA/view"", ""GTD Commit FY25"")",,MCO,Chile,Build with AI,0-2: Tech Eval/Solution Dev,2026-09-18,2026-10-16,"132,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001heSbZQAU/view"", ""Minsur S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOA9OAM/view"", ""Data Analytics 2026 - MDE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PYCBMIA5/view"", ""[Minsur  - Marcobre] Data Analytics PoC with MDE"")",,MCO,EM (PE/EC),Analytics,0-2: Tech Eval/Solution Dev,2026-11-16,2026-12-18,"165,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiqrTQAQ/view"", ""Intercorp Peru Ltd."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLMtOAO/view"", ""Financiera OH - Oracle @ GCP - Golden Gate"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PWDqMIAX/view"", ""Financiera OH - Oracle @ GCP - Golden Gate"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004OYJKA2/view"", ""ER-498849"")",MCO,EM (PE/EC),Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-11-18,2026-12-31,"48,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002789JPQAY/view"", ""Empresas Iansa S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLG7OAO/view"", ""Iansa Gemini Enterprise 100 users"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OmP86IAF/view"", ""Iansa - Gemini Enterprise 500 users"")",,Corporate,MCO CORP SUR,Build with AI,0-2: Tech Eval/Solution Dev,2026-11-20,2026-12-25,"40,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h4OWYQA2/view"", ""Intersurance Insurance Company"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZL0JOAW/view"", ""Modernización codebase legacy"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Kh4TnIAJ/view"", ""COMMIT INTERSURANCE KYNDRYL PERU S.A.C.,/$6.6 M TCV/5 Yr"")",,MCO,EM (PE/EC),Migrate Modernize and Build,4.1: Pre Ramp / Mobilize,2026-07-20,2026-08-31,"35,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001gyPdlQAE/view"", ""Compania Minera del Pacifico S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZKjYOAW/view"", ""SAP-Direct-CMP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KiLCDIA3/view"", ""CMP - Google Cloud Commit"")",,MCO,Chile,Migrate Modernize and Build,4.1: Pre Ramp / Mobilize,2026-07-01,2027-02-05,"320,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZK4WOAW/view"", ""Claudia Fase 2 - OTP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")",,MCO,EM (PE/EC),Build with AI,0-2: Tech Eval/Solution Dev,2026-07-06,2026-08-06,"106,140.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiqrTQAQ/view"", ""Intercorp Peru Ltd."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZJDHOA4/view"", ""Financiera OH - Oracle DB Migration  to AlloyDB (Axmos)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000POqZqIAL/view"", ""Financiera OH - Oracle DB Migration  to AlloyDB (Axmos)"")",,MCO,EM (PE/EC),Migrate and Modernize Databases,0-2: Tech Eval/Solution Dev,2026-11-18,2027-01-12,"90,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001meEuDQAU/view"", ""VANTI S A ESP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZIsJOAW/view"", ""SAP IaaS Vanti"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000J90X6IAJ/view"", ""Vanti SA ESP/$4.4M TCV/39MOs"")",,MCO,Colombia,Migrate Modernize and Build,4.3: Migrated/Implemented,2025-07-16,2025-12-30,"1,300,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoQ67QAE/view"", ""autopistacentral.cl"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WApNOAW/view"", ""Autopista Central - WL SAP Directo - AXMOS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PMm40IAD/view"", ""SAP on GCP for Autopista Central"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-10-11,2027-03-18,"1,800,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001httsZQAQ/view"", ""GTD Grupo Teleductos S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kIOTOA2/view"", ""GTD - Gemini Models"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000crl2cQAA/view"", ""GTD Commit FY25"")",,MCO,Chile,Build with AI,0-2: Tech Eval/Solution Dev,2026-10-03,2027-03-01,"196,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hVM5dQAG/view"", ""Banco de Chile"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZI9NOAW/view"", ""BCH - Real time queries with spanner ARK1"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P6S3zIAF/view"", ""Banco de Chile - Spanner para consultas en línea a sistemas internos y tarifario #GOLD"")",,MCO,Chile,Migrate and Modernize Databases,4.1: Pre Ramp / Mobilize,2026-08-24,2026-12-04,"60,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRPLjQAO/view"", ""Centro de Compensacion Automatizado S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZHurOAG/view"", ""vmware nodes + virtual non stop"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PMmdYIAT/view"", ""Switch Transaccional CCA"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-10-22,2026-12-18,"250,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hqUYyQAM/view"", ""Intercorp Peru Ltd."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZH0iOAG/view"", ""Eficiencia Operacional con GenAI"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P5bmFIAR/view"", ""LA TINKA S.A"")",,MCO,EM (PE/EC),Build with AI,0-2: Tech Eval/Solution Dev,2026-09-14,2026-11-20,"485,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lSboRQAS/view"", ""Willax Television"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eIZ8OAM/view"", ""Willax Wong | SecOps"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OpY0aIAF/view"", ""Willax Wong | SecOps"")",,Corporate,MCO CORP CCA,,0-2: Tech Eval/Solution Dev,2026-08-01,2026-09-01,"100,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRudBQAS/view"", ""Tenpo SpA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W970OAC/view"", ""[GECX] Tenpo - #CXAgentStudio - WL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PEvYzIAL/view"", ""[GECX] Tenpo - #CXAgentStudio"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000TVPaKAO/view"", ""ER-482458"")",Corporate,MCO CORP SUR,Customer Engagement,0-2: Tech Eval/Solution Dev,,,"300,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiRKRQA2/view"", ""CAJA DE COMPENSACION FAMILIAR CAFAM"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W92POAS/view"", ""Gemini Enterprise CAFAM"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OekiMIAR/view"", ""Gemini Enterprise CAFAM"")",,MCO,Colombia,Build with AI,4.1: Pre Ramp / Mobilize,2026-08-01,2026-12-31,"256,188.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hZzlaQAC/view"", ""Corporación Grupo Romero"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eHKWOA2/view"", ""Ransa_BigQuery"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Op1VxIAJ/view"", ""Ransa Comercial S.A. #BigQuery 15K #Teleperformance"")",,MCO,EM (PE/EC),Analytics,3:  Proposal / Negotiation,2026-08-14,2026-09-18,"3,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002S4aPIQAZ/view"", ""Antares Aduanas S.A.C."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W8UDOA0/view"", ""Antares Aduanas S.A.C #GCP # Modernizar aplicaciones"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OK2RIIA1/view"", ""Antares Aduanas S.A.C #GCP # Modernizar aplicaciones#MCO #Outbound"")",,Corporate,MCO CORP CCA,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-07-30,2026-08-31,"80,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hibDyQAI/view"", ""Geopark Colombia"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZEAgOAO/view"", ""DRP - Geopark"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OpHswIAF/view"", ""GeoPark - PSF Commit Extension"")",,MCO,Colombia,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-08-26,2026-10-31,"67,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001s98VtQAI/view"", ""Danper"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eGqWOAU/view"", ""Migración DB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSfARIA1/view"", ""Commit Danper 2026 3y-100K"")",,MCO,EM (PE/EC),Migrate and Modernize Databases,3:  Proposal / Negotiation,2026-08-20,2026-11-20,"60,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001s98VtQAI/view"", ""Danper"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eGqROAU/view"", ""Proyecto de Data Otros"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSfARIA1/view"", ""Commit Danper 2026 3y-100K"")",,MCO,EM (PE/EC),Analytics,3:  Proposal / Negotiation,2026-08-21,2026-09-25,"31,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001s98VtQAI/view"", ""Danper"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eGqMOAU/view"", ""Proyecto de Data SAP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSfARIA1/view"", ""Commit Danper 2026 3y-100K"")",,MCO,EM (PE/EC),Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,,,0.00
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001s98VtQAI/view"", ""Danper"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eGqNOAU/view"", ""Proyecto de Data OT"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSfARIA1/view"", ""Commit Danper 2026 3y-100K"")",,MCO,EM (PE/EC),Analytics,0-2: Tech Eval/Solution Dev,,,0.00
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRPMWQA4/view"", ""Cencosud S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZDaxOAG/view"", ""[Cencosud] - Oracle DataBase@Google Cloud - Exadata  - Marketplace #Oracle"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000N4mdsIAB/view"", ""Cencosud - Recommit Q1 2026 #microsoft"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PTVOKA4/view"", ""ER-478971"")",MCO,Chile,Migrate Modernize and Build,4.2: Ramping / Deliver,2026-08-08,2026-10-30,"292,728.00"
